# Program:featureCounts v2.0.3; Command:"/home/nilmbb/dmalcov/vigna/subread-2.0.3-source/bin/featureCounts" "-p" "--countReadPairs" "-t" "exon" "-g" "gene_id" "-a" "v6.gtf" "-o" "VR4R1counts.txt" "alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam
gene:Vradi02g07430	CM003505.1;CM003505.1;CM003505.1;CM003505.1	8945500;8945751;8946046;8946475	8945658;8945942;8946110;8946763	-;-;-;-	705	4
gene:Vradi02g07440	CM003505.1	8953730	8953939	+	210	5
gene:Vradi02g07450	CM003505.1;CM003505.1	8961600;8962130	8961757;8963208	-;-	1237	6994
gene:Vradi02g07460	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	8972087;8972282;8975388;8977637;8979640	8972208;8972427;8975473;8977884;8979748	-;-;-;-;-	711	7
gene:Vradi02g07470	CM003505.1;CM003505.1;CM003505.1	9061106;9062532;9065138	9061178;9062670;9065324	+;+;+	399	0
gene:Vradi02g07480	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9072405;9072795;9074536;9074853;9075223;9075452;9075785;9076227	9072441;9072931;9074755;9075063;9075373;9075685;9075932;9076546	+;+;+;+;+;+;+;+	1458	4
gene:Vradi02g07490	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9125420;9125897;9130226;9131314;9132152	9125731;9126076;9130519;9131595;9132467	+;+;+;+;+	1384	1638
gene:Vradi02g07500	CM003505.1;CM003505.1;CM003505.1	9133536;9135587;9135830	9134894;9135745;9136831	-;-;-	2520	1376
gene:Vradi02g07510	CM003505.1;CM003505.1;CM003505.1	9143543;9143847;9144012	9143753;9143925;9144087	-;-;-	366	9602
gene:Vradi02g07520	CM003505.1;CM003505.1;CM003505.1	9145706;9147843;9149361	9145898;9148237;9149828	-;-;-	1056	46
gene:Vradi02g07530	CM003505.1;CM003505.1	9161635;9161996	9161870;9162741	+;+	982	76
gene:Vradi02g07540	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9179752;9181442;9181780;9182070;9182279;9182594;9183865	9180016;9181608;9181884;9182126;9182359;9182662;9184252	+;+;+;+;+;+;+	1132	825
gene:Vradi02g07550	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9187706;9188727;9190151;9190631;9191363;9191538;9191813;9195028;9195867;9196404;9196583	9187848;9188925;9190254;9190697;9191455;9191702;9191947;9195195;9195968;9196493;9196996	+;+;+;+;+;+;+;+;+;+;+	1680	1347
gene:Vradi02g07560	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9198646;9198941;9199186;9199475;9199691;9201828;9202412	9198860;9199108;9199273;9199620;9199796;9201989;9203035	-;-;-;-;-;-;-	1509	1332
gene:Vradi02g07570	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9205736;9206221;9206430;9206604;9206761;9206987;9207217;9208733;9209313;9210854	9206087;9206329;9206523;9206667;9206873;9207113;9207366;9208829;9209551;9211205	-;-;-;-;-;-;-;-;-;-	1697	319
gene:Vradi02g07580	CM003505.1;CM003505.1;CM003505.1;CM003505.1	9231706;9231940;9232808;9234888	9231796;9232103;9232977;9235104	-;-;-;-	642	1748
gene:Vradi02g07590	CM003505.1;CM003505.1;CM003505.1	9237102;9237465;9237993	9237359;9237739;9238011	-;-;-	552	26
gene:Vradi02g07600	CM003505.1;CM003505.1	9278922;9279668	9279002;9279799	-;-	213	49
gene:Vradi02g07610	CM003505.1;CM003505.1;CM003505.1	9287361;9288329;9289048	9287561;9288367;9289155	-;-;-	348	1258
gene:Vradi02g07620	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9294613;9295913;9296278;9296615;9297543;9298321	9295328;9296092;9296397;9296735;9297847;9298386	-;-;-;-;-;-	1508	361
gene:Vradi02g07630	CM003505.1;CM003505.1	9350403;9352131	9351662;9352249	-;-	1379	134
gene:Vradi02g07640	CM003505.1;CM003505.1;CM003505.1	9369049;9369598;9369915	9369310;9369619;9370600	-;-;-	970	140
gene:Vradi02g07650	CM003505.1	9374076	9374594	-	519	0
gene:Vradi02g07660	CM003505.1	9377089	9377634	-	546	0
gene:Vradi02g07670	CM003505.1;CM003505.1	9386634;9386950	9386842;9387156	-;-	416	4
gene:Vradi02g07680	CM003505.1;CM003505.1	9407926;9408392	9408313;9408423	+;+	420	0
gene:Vradi02g07690	CM003505.1;CM003505.1;CM003505.1	9415747;9416291;9416978	9415816;9416886;9417424	+;+;+	1113	0
gene:Vradi02g07700	CM003505.1;CM003505.1	9424876;9428290	9425240;9428536	-;-	612	279
gene:Vradi02g07710	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9460997;9461784;9462071;9462857;9463317;9463893;9465143	9461480;9461862;9462436;9463202;9463419;9464163;9465213	-;-;-;-;-;-;-	1720	3497
gene:Vradi02g07720	CM003505.1;CM003505.1	9478624;9480080	9479895;9480191	+;+	1384	399
gene:Vradi02g07730	CM003505.1	9501278	9502012	+	735	134
gene:Vradi02g07740	CM003505.1;CM003505.1	9512833;9513109	9513016;9513245	+;+	321	0
gene:Vradi02g07750	CM003505.1	9535145	9536491	+	1347	1288
gene:Vradi02g07760	CM003505.1	9546474	9546734	+	261	169
gene:Vradi02g07770	CM003505.1;CM003505.1;CM003505.1;CM003505.1	9548612;9548923;9549685;9549854	9548735;9548961;9549770;9549916	-;-;-;-	312	1331
gene:ENSRNA050006078	CM003505.1	9566055	9566155	+	101	0
gene:Vradi02g07780	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9586686;9587481;9587916;9588139;9588290;9588677;9589008;9589179;9589488;9589661;9590643	9587345;9587590;9588041;9588226;9588323;9588749;9589068;9589390;9589558;9589760;9591247	-;-;-;-;-;-;-;-;-;-;-	2140	917
gene:Vradi02g07790	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9610225;9610944;9611274;9611838;9612076;9613342;9613810;9614079;9614793;9615377;9616102;9617313	9610538;9611179;9611372;9611921;9612162;9613462;9613991;9614117;9615298;9615851;9616769;9617561	+;+;+;+;+;+;+;+;+;+;+;+	3060	155
gene:Vradi02g07800	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9618208;9619457;9619746;9619931;9621366;9621826;9622160;9622761;9622933;9623253;9623448;9623888;9624194;9624433;9625405	9618604;9619637;9619829;9620016;9621528;9621899;9622248;9622854;9623083;9623363;9623527;9623998;9624357;9624605;9625669	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2223	1404
gene:Vradi02g07810	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9631483;9631775;9632038;9632582;9632866;9633208;9633459;9633685;9633850;9634039;9638851;9639203;9639396;9639765;9641311;9642823;9643012;9643343	9631600;9631935;9632130;9632767;9633027;9633352;9633601;9633741;9633929;9634114;9639036;9639270;9639514;9639886;9641790;9642921;9643254;9643629	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2825	861
gene:Vradi02g07820	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9647434;9648123;9651835;9654168;9654449;9654747;9657282;9657450;9657707	9647801;9648214;9652230;9654340;9654633;9654799;9657357;9657611;9657744	+;+;+;+;+;+;+;+;+	1543	1256
gene:Vradi02g07830	CM003505.1;CM003505.1	9662721;9663435	9663233;9664397	+;+	1476	1314
gene:Vradi02g07840	CM003505.1	9677431	9677859	-	429	5
gene:Vradi02g07850	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9684452;9685172;9685401;9685967;9686862;9687587;9688102;9690593	9684513;9685239;9685581;9686037;9687461;9687832;9688245;9690666	+;+;+;+;+;+;+;+	1446	179
gene:Vradi02g07860	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9705426;9706040;9708759;9708898;9709236;9709424;9709599	9705960;9706671;9708815;9709136;9709354;9709510;9710018	+;+;+;+;+;+;+	2089	8027
gene:Vradi02g07870	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9738411;9739164;9739702;9741553;9742036;9742158;9742880	9738726;9739541;9740999;9741830;9742067;9742594;9743783	+;+;+;+;+;+;+	3643	493
gene:Vradi02g07880	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9744570;9745340;9745643;9745853;9745989;9746616	9745198;9745373;9745739;9745892;9746072;9747164	+;+;+;+;+;+	1433	70
gene:Vradi02g07890	CM003505.1;CM003505.1	9749616;9750329	9749816;9750676	+;+	549	86
gene:Vradi02g07900	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9765097;9765551;9766016;9766886;9767238;9767611;9767914;9768128;9768798;9769076;9769452;9770114	9765402;9765927;9766111;9767157;9767412;9767811;9768015;9768571;9768986;9769193;9769654;9770300	-;-;-;-;-;-;-;-;-;-;-;-	2670	275
gene:Vradi02g07910	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9809409;9809587;9809721;9811787;9811951	9809511;9809637;9809780;9811858;9811988	+;+;+;+;+	324	1952
gene:Vradi02g07920	CM003505.1;CM003505.1	9816432;9817104	9816767;9817253	+;+	486	182
gene:Vradi02g07930	CM003505.1	9839174	9839830	-	657	3
gene:Vradi02g07940	CM003505.1;CM003505.1;CM003505.1	9855037;9855310;9856033	9855131;9855843;9856909	-;-;-	1506	2346
gene:Vradi02g07950	CM003505.1;CM003505.1;CM003505.1	9886617;9886797;9887353	9886704;9886881;9887401	-;-;-	222	31
gene:Vradi02g07960	CM003505.1;CM003505.1;CM003505.1	9894773;9895008;9895345	9894904;9895213;9895381	-;-;-	375	63
gene:Vradi02g07970	CM003505.1	9907770	9908075	+	306	0
gene:Vradi02g07980	CM003505.1;CM003505.1;CM003505.1;CM003505.1	9919896;9920495;9921468;9921733	9920402;9920686;9921630;9922449	+;+;+;+	1579	174
gene:ENSRNA050006068	CM003505.1	9926375	9926458	+	84	4
gene:ENSRNA050006067	CM003505.1	9926624	9926729	+	106	0
gene:ENSRNA050006074	CM003505.1	9926829	9926953	+	125	3
gene:ENSRNA050006075	CM003505.1	9927356	9927439	+	84	0
gene:Vradi02g07990	CM003505.1	9947984	9948358	-	375	230
gene:Vradi02g08000	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9960931;9961730;9962182;9962535;9962834;9963158;9963571;9964537	9961628;9961880;9962419;9962745;9963045;9963304;9964077;9965860	-;-;-;-;-;-;-;-	3488	204
gene:Vradi02g08010	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	9984342;9984599;9988273;9988495;9988717	9984508;9984731;9988334;9988617;9988762	-;-;-;-;-	531	20
gene:Vradi02g08020	CM003505.1;CM003505.1;CM003505.1;CM003505.1	9998528;9998959;9999232;9999440	9998833;9999055;9999379;9999508	-;-;-;-	620	0
gene:Vradi02g08030	CM003505.1;CM003505.1;CM003505.1	9999789;10003370;10004544	9999836;10003831;10004597	+;+;+	564	351
gene:Vradi02g08040	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10032483;10032933;10033290;10033475;10034812;10035072	10032524;10033127;10033382;10034720;10034958;10036142	+;+;+;+;+;+	2794	3140
gene:Vradi02g08050	CM003505.1;CM003505.1	10052788;10054260	10054004;10055268	+;+	2226	553
gene:Vradi02g08060	CM003505.1;CM003505.1	10073398;10074059	10073922;10074399	-;-	866	122
gene:Vradi02g08070	CM003505.1;CM003505.1;CM003505.1	10106776;10107136;10107522	10106908;10107265;10107960	+;+;+	702	0
gene:Vradi02g08080	CM003505.1;CM003505.1;CM003505.1	10131447;10131720;10135598	10131582;10131849;10135991	+;+;+	660	0
gene:Vradi02g08090	CM003505.1;CM003505.1;CM003505.1;CM003505.1	10173373;10173600;10173820;10177264	10173505;10173729;10174381;10177515	+;+;+;+	1077	675
gene:Vradi02g08100	CM003505.1;CM003505.1;CM003505.1	10192146;10192371;10192589	10192278;10192500;10193264	+;+;+	939	132
gene:Vradi02g08110	CM003505.1;CM003505.1;CM003505.1	10203775;10204084;10204281	10203907;10204213;10204692	+;+;+	675	1
gene:Vradi02g08120	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10230039;10230683;10231032;10233702;10237752;10241761;10243688;10244013;10246832;10247539;10248455	10230051;10230814;10231175;10233883;10237875;10241871;10243740;10244087;10247071;10247934;10248529	+;+;+;+;+;+;+;+;+;+;+	1545	0
gene:Vradi02g08130	CM003505.1;CM003505.1;CM003505.1	10260003;10260210;10260899	10260135;10260339;10261343	+;+;+	708	12
gene:Vradi02g08140	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10297812;10298713;10299093;10299424;10299653;10299824	10298578;10298843;10299309;10299513;10299733;10300224	-;-;-;-;-;-	1687	91
gene:Vradi02g08150	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10312955;10321003;10321153;10321866;10322112;10322350;10322625;10322936;10323181;10323706	10313075;10321067;10321257;10322021;10322255;10322455;10322845;10323096;10323392;10323749	+;+;+;+;+;+;+;+;+;+	1335	75
gene:Vradi02g08160	CM003505.1;CM003505.1	10341115;10342252	10341752;10343251	-;-	1638	595
gene:Vradi02g08170	CM003505.1;CM003505.1;CM003505.1	10362223;10363012;10363437	10362886;10363141;10363569	-;-;-	927	3
gene:Vradi02g08180	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10376182;10377402;10377637;10377916;10378643;10379182;10379657;10379912;10382709;10383104;10383357;10383661	10376655;10377524;10377765;10377989;10378766;10379230;10379739;10379979;10382783;10383191;10383473;10384225	+;+;+;+;+;+;+;+;+;+;+;+	1969	195
gene:Vradi02g08190	CM003505.1;CM003505.1;CM003505.1	10388275;10389581;10390559	10388907;10389848;10390935	-;-;-	1278	1994
gene:Vradi02g08200	CM003505.1	10409034	10409288	+	255	426
gene:Vradi02g08210	CM003505.1	10416614	10416880	+	267	926
gene:Vradi02g08220	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10433265;10434357;10434645;10434831;10435060;10435425;10435832	10433812;10434427;10434690;10434949;10435137;10435503;10435851	+;+;+;+;+;+;+	961	297
gene:Vradi02g08230	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10448458;10450800;10451049;10451291;10451870;10452058;10452527;10453125;10453531;10455470;10456951;10457847;10458008;10458542;10458867;10459851;10460284;10460757;10461337	10448579;10450879;10451170;10451551;10451974;10452277;10452777;10453328;10453783;10455589;10457041;10457919;10458271;10458646;10459086;10460101;10460487;10461027;10461464	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3345	1533
gene:ENSRNA050006187	CM003505.1	10472993	10473108	-	116	7
gene:ENSRNA050006191	CM003505.1	10473302	10473416	-	115	4
gene:ENSRNA050006189	CM003505.1	10473486	10473577	-	92	1
gene:ENSRNA050006185	CM003505.1	10473665	10473752	-	88	11
gene:ENSRNA050006180	CM003505.1	10473991	10474127	-	137	42
gene:Vradi02g08240	CM003505.1;CM003505.1	10483216;10485455	10484244;10485897	-;-	1472	658
gene:Vradi02g08250	CM003505.1;CM003505.1	10494223;10495058	10494375;10496509	+;+	1605	4
gene:Vradi02g08260	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10500656;10502049;10502527;10502879;10503055;10507087;10507782;10508051;10508253;10508424;10508649	10501690;10502180;10502643;10502968;10503110;10507639;10507901;10508167;10508342;10508531;10508696	+;+;+;+;+;+;+;+;+;+;+	2466	9
gene:Vradi02g08270	CM003505.1;CM003505.1;CM003505.1;CM003505.1	10516141;10517002;10517237;10517756	10516246;10517072;10517304;10517786	+;+;+;+	276	1576
gene:Vradi02g08280	CM003505.1	10519439	10520659	-	1221	1
gene:Vradi02g08290	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10531254;10532301;10532514;10534424;10535687	10532097;10532416;10532589;10535206;10535723	-;-;-;-;-	1856	807
gene:Vradi02g08300	CM003505.1;CM003505.1;CM003505.1;CM003505.1	10577263;10578674;10579639;10580808	10577429;10579051;10579691;10581169	+;+;+;+	960	662
gene:Vradi02g08310	CM003505.1;CM003505.1;CM003505.1;CM003505.1	10582261;10583733;10584390;10584818	10583567;10583810;10584565;10584998	-;-;-;-	1742	263
gene:Vradi02g08320	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10588355;10588784;10589150;10589487;10589631;10589801;10590152;10590322;10590889;10591035;10591698;10591904;10592293;10592451;10595399;10596794	10588688;10588849;10589198;10589554;10589688;10589872;10590245;10590384;10590948;10591121;10591820;10591937;10592355;10592552;10595455;10596838	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1375	1645
gene:Vradi02g08330	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10610633;10610633;10611314;10611314;10611553;10611553;10611873;10611873;10612575;10612575;10613376;10613376;10613721;10613721;10613980;10613980;10614975;10614975;10615200;10615200;10615346;10615346;10615510;10615510;10615660;10615660;10615808;10615808;10616057;10616057;10616230;10616230;10616914;10616914;10617118;10617587	10611212;10611212;10611470;10611470;10611689;10611689;10612011;10612011;10612846;10612846;10613506;10613506;10613864;10613864;10614398;10614398;10615040;10615040;10615265;10615265;10615417;10615435;10615581;10615581;10615731;10615731;10615873;10615873;10616128;10616128;10616359;10616359;10617172;10617038;10617200;10617733	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3047	3575
gene:Vradi02g08340	CM003505.1;CM003505.1	10637279;10639292	10637286;10639784	+;+	501	16
gene:Vradi02g08350	CM003505.1;CM003505.1	10659666;10661022	10659812;10661545	-;-	671	4
gene:Vradi02g08360	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10721444;10721759;10722183;10722456;10724296	10721666;10721801;10722284;10723276;10725030	+;+;+;+;+	1924	315
gene:Vradi02g08370	CM003505.1;CM003505.1	10739609;10739864	10739659;10740037	-;-	225	4
gene:Vradi02g08380	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10752706;10754535;10754856;10755051;10755611;10757577	10753400;10754758;10754973;10755395;10757469;10757902	-;-;-;-;-;-	3567	1297
gene:Vradi02g08390	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10834768;10835847;10836639;10837635;10837863;10838206	10835718;10836055;10836861;10837720;10837954;10838327	+;+;+;+;+;+	1683	864
gene:Vradi02g08400	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10854914;10855689;10855889;10856198;10856455;10856678;10856984;10857174;10857949	10855232;10855783;10855936;10856318;10856509;10856793;10857052;10857280;10858585	-;-;-;-;-;-;-;-;-	1567	144
gene:Vradi02g08410	CM003505.1;CM003505.1	10899088;10899646	10899371;10899661	+;+	300	532
gene:Vradi02g08420	CM003505.1;CM003505.1	10930315;10930953	10930712;10931589	+;+	1035	50
gene:Vradi02g08430	CM003505.1;CM003505.1;CM003505.1	10967056;10967779;10968133	10967671;10967883;10969915	+;+;+	2504	709
gene:Vradi02g08440	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10970781;10970885;10971108;10971717;10972076;10972809	10970853;10971019;10971322;10971890;10972311;10973377	+;+;+;+;+;+	1402	826
gene:Vradi02g08450	CM003505.1;CM003505.1;CM003505.1;CM003505.1	10982087;10982687;10983082;10987007	10982275;10982817;10983266;10987086	-;-;-;-	585	0
gene:Vradi02g08460	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	10993327;10993741;10997517;10997765;10998226	10993652;10993955;10997678;10998000;10998702	+;+;+;+;+	1416	69
gene:Vradi02g08470	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11004125;11004736;11004899;11005041;11005989;11006888;11007095;11007438;11007771;11007990	11004506;11004822;11004966;11005176;11006371;11006971;11007350;11007671;11007901;11008086	-;-;-;-;-;-;-;-;-;-	1858	584
gene:Vradi02g08480	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11013512;11013905;11014364;11014622;11015021;11015371	11013816;11014119;11014534;11014857;11015326;11015454	+;+;+;+;+;+	1317	226
gene:Vradi02g08490	CM003505.1;CM003505.1	11016110;11016776	11016374;11016954	-;-	444	111
gene:Vradi02g08500	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11026907;11027545;11027973;11028842;11029032;11030098;11030539;11030954	11027434;11027862;11028089;11028943;11029235;11030308;11030857;11031086	-;-;-;-;-;-;-;-	1932	143
gene:Vradi02g08510	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11039452;11040097;11040568;11041149;11042007	11039642;11040181;11040697;11041449;11042288	-;-;-;-;-	989	202
gene:Vradi02g08520	CM003505.1;CM003505.1;CM003505.1	11078124;11079093;11080121	11078774;11079646;11080778	-;-;-	1863	35
gene:Vradi02g08530	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11142567;11143515;11144101;11144331;11145112;11146053	11142989;11143694;11144205;11144411;11145211;11146400	-;-;-;-;-;-	1237	824
gene:ENSRNA050006275	CM003505.1	11146499	11146571	+	73	0
gene:ENSRNA050006276	CM003505.1	11146651	11146723	+	73	0
gene:Vradi02g08540	CM003505.1;CM003505.1	11147201;11148160	11147531;11148410	-;-	582	25
gene:Vradi02g08550	CM003505.1;CM003505.1;CM003505.1;CM003505.1	11162113;11162475;11163367;11164864	11162372;11162636;11163585;11165230	+;+;+;+	1008	157
gene:Vradi02g08560	CM003505.1;CM003505.1	11170506;11170802	11170691;11170912	+;+	297	713
gene:Vradi02g08570	CM003505.1;CM003505.1;CM003505.1	11227482;11230843;11233683	11228555;11231035;11233772	-;-;-	1357	150
gene:Vradi02g08580	CM003505.1;CM003505.1	11240724;11240948	11240799;11241546	-;-	675	995
gene:Vradi02g08590	CM003505.1	11266819	11267253	+	435	0
gene:Vradi02g08600	CM003505.1;CM003505.1;CM003505.1	11307716;11307884;11309359	11307797;11307940;11309780	+;+;+	561	6
gene:Vradi02g08610	CM003505.1;CM003505.1;CM003505.1	11312305;11312600;11312892	11312498;11312729;11312996	+;+;+	429	0
gene:Vradi02g08620	CM003505.1;CM003505.1	11325337;11325594	11325462;11325683	-;-	216	186
gene:Vradi02g08630	CM003505.1;CM003505.1;CM003505.1	11348104;11348547;11348739	11348295;11348590;11349749	-;-;-	1247	602
gene:Vradi02g08640	CM003505.1;CM003505.1;CM003505.1	11363396;11363644;11364772	11363550;11363746;11365005	+;+;+	492	84
gene:Vradi02g08650	CM003505.1;CM003505.1;CM003505.1;CM003505.1	11388344;11389966;11393511;11394117	11388499;11390253;11393846;11394698	+;+;+;+	1362	1865
gene:Vradi02g08660	CM003505.1;CM003505.1	11404253;11405851	11405019;11408944	+;+	3861	1216
gene:ENSRNA050006183	CM003505.1	11406912	11406992	+	81	0
gene:Vradi02g08670	CM003505.1;CM003505.1;CM003505.1;CM003505.1	11448229;11450086;11450245;11450400	11449803;11450145;11450311;11450563	+;+;+;+	1866	229
gene:Vradi02g08680	CM003505.1;CM003505.1;CM003505.1;CM003505.1	11456234;11456784;11460097;11460536	11456575;11457338;11460190;11460662	-;-;-;-	1118	153
gene:Vradi02g08690	CM003505.1;CM003505.1;CM003505.1	11472413;11472607;11474812	11472526;11472765;11474997	-;-;-	459	4
gene:Vradi02g08700	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11486411;11487147;11487704;11488424;11488942	11486629;11487395;11487980;11488578;11489034	+;+;+;+;+	993	433
gene:Vradi02g08710	CM003505.1	11509664	11510008	+	345	8
gene:Vradi02g08720	CM003505.1;CM003505.1;CM003505.1	11540273;11540777;11541616	11540473;11540926;11541672	-;-;-	408	2648
gene:Vradi02g08730	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11559876;11560717;11561114;11561358;11561531;11561775;11561936;11562079;11562731	11560121;11560753;11561267;11561432;11561672;11561844;11562001;11562201;11563176	+;+;+;+;+;+;+;+;+	1359	299
gene:Vradi02g08740	CM003505.1	11578770	11580113	-	1344	5
gene:Vradi02g08750	CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1;CM003505.1	11580800;11583585;11583849;11584073;11591417;11591638	11581078;11583740;11583981;11584112;11591555;11591921	+;+;+;+;+;+	1031	558
gene:Vradi02g08760	CM003505.1;CM003505.1;CM003505.1	11592711;11594662;11595595	11594557;11594810;11595973	+;+;+	2375	79
gene:Vradi02g08770	CM003505.1;CM003505.1;CM003505.1;CM003505.1	11597029;11599155;11599410;11599626	11597215;11599194;11599531;11599765	-;-;-;-	489	139
